BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
BRONX,BAYCHESTER,01 ONE FAMILY HOMES,97,200000,533743,545000,1050000,2022
BRONX,BAYCHESTER,02 TWO FAMILY HOMES,118,285000,702224,720000,999000,2022
BRONX,BAYCHESTER,03 THREE FAMILY HOMES,25,430350,781392,850000,1000000,2022
BRONX,BEDFORD PARK/NORWOOD,01 ONE FAMILY HOMES,21,295000,882762,732000,3300000,2022
BRONX,BEDFORD PARK/NORWOOD,02 TWO FAMILY HOMES,29,380000,717103,770000,960000,2022
BRONX,BEDFORD PARK/NORWOOD,03 THREE FAMILY HOMES,13,620000,912231,880000,1250000,2022
BRONX,BELMONT,01 ONE FAMILY HOMES,2,700000,725000,725000,750000,2022
BRONX,BELMONT,02 TWO FAMILY HOMES,19,350000,647772,625000,933333,2022
BRONX,BELMONT,03 THREE FAMILY HOMES,12,261000,745833,800000,975000,2022
BRONX,BRONXDALE,01 ONE FAMILY HOMES,47,212000,551676,565000,825000,2022
BRONX,BRONXDALE,02 TWO FAMILY HOMES,71,337500,729906,730000,1900000,2022
BRONX,BRONXDALE,03 THREE FAMILY HOMES,17,550000,850206,800000,1350000,2022
BRONX,CASTLE HILL/UNIONPORT,01 ONE FAMILY HOMES,25,305000,622440,607500,1400000,2022
BRONX,CASTLE HILL/UNIONPORT,02 TWO FAMILY HOMES,43,228000,730497,750000,1100000,2022
BRONX,CASTLE HILL/UNIONPORT,03 THREE FAMILY HOMES,21,650000,922209,915000,1221900,2022
BRONX,CITY ISLAND,01 ONE FAMILY HOMES,31,280000,565419,580000,999995,2022
BRONX,CITY ISLAND,02 TWO FAMILY HOMES,7,400000,664286,725000,975000,2022
BRONX,CITY ISLAND,03 THREE FAMILY HOMES,3,875000,927333,907000,999999,2022
BRONX,COUNTRY CLUB,01 ONE FAMILY HOMES,76,350000,665156,650000,975000,2022
BRONX,COUNTRY CLUB,02 TWO FAMILY HOMES,59,400000,852886,835000,1265000,2022
BRONX,COUNTRY CLUB,03 THREE FAMILY HOMES,15,450000,980933,980000,1390000,2022
BRONX,SOUNDVIEW,02 TWO FAMILY HOMES,77,250000,692505,740000,1100000,2022
BRONX,CROTONA PARK,01 ONE FAMILY HOMES,5,499550,607710,600000,769000,2022
BRONX,CROTONA PARK,02 TWO FAMILY HOMES,7,500000,676143,650000,850000,2022
BRONX,CROTONA PARK,03 THREE FAMILY HOMES,7,485000,796971,850000,958800,2022
BRONX,EAST TREMONT,01 ONE FAMILY HOMES,13,265000,551308,542000,950000,2022
BRONX,EAST TREMONT,02 TWO FAMILY HOMES,14,235159,753154,767500,1190000,2022
BRONX,EAST TREMONT,03 THREE FAMILY HOMES,5,550000,815000,850000,950000,2022
BRONX,FIELDSTON,01 ONE FAMILY HOMES,7,999100,2258443,1565000,4400000,2022
BRONX,FIELDSTON,02 TWO FAMILY HOMES,1,820000,820000,820000,820000,2022
BRONX,FORDHAM,01 ONE FAMILY HOMES,6,452000,950833,881500,1700000,2022
BRONX,FORDHAM,02 TWO FAMILY HOMES,19,458000,783053,716000,1715000,2022
BRONX,FORDHAM,03 THREE FAMILY HOMES,8,440000,1066851,1055000,2235000,2022
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY HOMES,7,340000,666286,775000,925000,2022
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY HOMES,35,355000,853454,870000,1500000,2022
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES,12,400000,915250,910000,1335000,2022
BRONX,HUNTS POINT,01 ONE FAMILY HOMES,1,555000,555000,555000,555000,2022
BRONX,HUNTS POINT,02 TWO FAMILY HOMES,5,200000,581000,690000,825000,2022
BRONX,HUNTS POINT,03 THREE FAMILY HOMES,4,210000,430739,398977,715000,2022
BRONX,KINGSBRIDGE HTS/UNIV HTS,01 ONE FAMILY HOMES,16,400000,793453,710000,2300000,2022
